trans_date,post_date,description,col_3,amount,col_5
May 16,May 17,CHEVRONSN FELIPE BCN,,,$77.17
,,"$1,500.00 MXN",,,
,,19.437605287 Exchange Rate,,,
May 16,May 19,7 ELEVEN FLAMINGOSTIJUANA BCNBN,,,$24.57
,,$477.50 MXN,,,
,,19.434269434 Exchange Rate,,,
May 18,May 19,CRUNCHYROLL 415-503-9235CA,,,$7.99
May 19,May 20,CHEVRON 0207445NATIONAL CITYCA,,,$40.00
May 19,May 21,7-ELEVEN 39199NATIONAL CITYCA,,,$5.49
May 20,May 21,TST COCO ICHIBANYA IRIRVINECA,,,$31.30
May 22,May 23,GOOGLE Google One650-253-0000CA,,,$9.99
May 24,May 26,HORNERO CACHOTIJUANA BCN,,,$13.50
,,$260.00 MXN,,,
,,19.259259259 Exchange Rate,,,
May 24,May 26,7 ELEVEN FLAMINGOSTIJUANA BCNBN,,,$25.86
,,$498.00 MXN,,,
,,19.257540603 Exchange Rate,,,
May 24,May 26,COMPANIA GAS TIJUAN MUTIJUANA BCNBN,,,$28.85
,,$555.43 MXN,,,
,,19.252339688 Exchange Rate,,,
May 25,May 26,UBER EATSCIUDAD DE MEXCDM,,,$15.30
,,$294.65 MXN,,,
,,19.258169935 Exchange Rate,,,
May 29,May 30,UBER EATSCIUDAD DE MEXCDM,,,$26.50
,,$511.76 MXN,,,
,,19.311698113 Exchange Rate,,,
May 30,May 31,COURSERA.ORGMOUNTAIN VIEWCA,,,$14.81
,,$286.00 MXN,,,
,,19.311276165 Exchange Rate,,,
May 30,May 31,REST TAJIMAMXRAM CENTRTIJUANA BCN,,,$15.58
,,$300.00 MXN,,,
,,19.255455712 Exchange Rate,,,
May 30,May 31,CARN LA DIVINA PROVIDETIJUANA BCN,,,$65.38
,,"$1,259.14 MXN",,,
,,19.258794738 Exchange Rate,,,
May 30,May 31,FRUTERIA EL PARAISOTIJUANA BCN,,,$22.68
,,$436.91 MXN,,,
,,19.264109347 Exchange Rate,,,
,,,Additional Information on the next page,,
