trans_date,post_date,description,col_3,amount,col_5
Jun 3,Jun 4,Google YouTubePremiumMountain ViewCA,,,$8.28
,,$159.00 MXN,,,
,,19.202898551 Exchange Rate,,,
Jun 3,Jun 6,7 ELEVEN FLAMINGOSTIJUANA BCNBN,,,$34.88
,,$669.50 MXN,,,
,,19.194380734 Exchange Rate,,,
Jun 5,Jun 7,7 ELEVEN FLAMINGOSTIJUANA BCNBN,,,$23.91
,,$458.00 MXN,,,
,,19.155165203 Exchange Rate,,,
Jun 5,Jun 7,MOTEL LA MANSIONTIJUANA BCNBN,,,$39.16
,,$750.00 MXN,,,
,,19.152196118 Exchange Rate,,,
Jun 8,Jun 9,UBER EATSCIUDAD DE MEXCDM,,,$27.33
,,$521.94 MXN,,,
,,19.097694841 Exchange Rate,,,
Jun 8,Jun 9,UBER EATSCIUDAD DE MEXCDM,,,$5.16
,,$98.48 MXN,,,
,,19.085271318 Exchange Rate,,,
Jun 10,Jun 11,NETFLIX.COMLOS GATOSCA,,,$17.99
Jun 10,Jun 11,UBER EATSCIUDAD DE MEXCDM,,,$24.27
,,$461.90 MXN,,,
,,19.031726411 Exchange Rate,,,
Jun 10,Jun 12,MOTEL LA MANSIONTIJUANA BCNBN,,,$39.41
,,$750.00 MXN,,,
,,19.030702867 Exchange Rate,,,
Jun 11,Jun 12,BLACK RIFLE COFFEESALT LAKE CITUT,,,$78.95
Jun 12,Jun 13,CLAUDE.AI SUBSCRIPTIONSAN FRANCISCOCA,,,$20.00
Jun 12,Jun 13,UBER EATSCIUDAD DE MEXCDM,,,$31.59
,,$595.26 MXN,,,
,,18.843304843 Exchange Rate,,,
Jun 12,Jun 13,ANTHROPICSAN FRANCISCOCA,,,$10.00
Jun 12,Jun 13,PY OTAY MESA SELF STOSAN DIEGOCA,,,$89.00
Jun 13,Jun 14,CARN LA DIVINA PROVIDETIJUANA BCN,,,$44.04
,,$831.33 MXN,,,
,,18.876702997 Exchange Rate,,,
Jun 13,Jun 14,FRUTERIA EL PARAISOTIJUANA BCN,,,$22.35
,,$421.90 MXN,,,
,,18.876957494 Exchange Rate,,,
,,,Additional Information on the next page,,
